C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1864, col 2, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1886, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1896, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1905, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1915, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1943, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 1972, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2023, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2054, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2083, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2092, col 3, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2101, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2130, col 2, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2145, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 2370, col 4, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
